label,n_basins,largest_basin,cycle_lengths,n_walls,output,environment,shape,run_name,sigma_hash,sigma_path
N,1,49,4,0,F-basins-wrap7.png,wrap_grid,7x7,g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08,1856c82c4a05583d1046706e8af21732,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08/g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08-multi-all.sigma.npy
E,1,49,2,0,F-basins-wrap7.png,wrap_grid,7x7,g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08,1856c82c4a05583d1046706e8af21732,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08/g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08-multi-all.sigma.npy
S,1,49,6,0,F-basins-wrap7.png,wrap_grid,7x7,g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08,1856c82c4a05583d1046706e8af21732,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08/g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08-multi-all.sigma.npy
W,1,49,6,0,F-basins-wrap7.png,wrap_grid,7x7,g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08,1856c82c4a05583d1046706e8af21732,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08/g200-pop-96-perm-bal-17-06-b1-free-ga-wrap-grid-fediv-sp3011-08-multi-all.sigma.npy
N,11,14,2;1;2;1;1;1;1;1;1;1;1,9,F-basins-fourrooms7.png,four_rooms,7x7,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey,425f30e3d5cd655339fd0cc7dfd021d7,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey/g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey-multi-all.sigma.npy
E,17,16,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9,F-basins-fourrooms7.png,four_rooms,7x7,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey,425f30e3d5cd655339fd0cc7dfd021d7,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey/g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey-multi-all.sigma.npy
S,8,31,1;1;4;1;1;1;1;1,9,F-basins-fourrooms7.png,four_rooms,7x7,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey,425f30e3d5cd655339fd0cc7dfd021d7,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey/g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey-multi-all.sigma.npy
W,15,15,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9,F-basins-fourrooms7.png,four_rooms,7x7,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey,425f30e3d5cd655339fd0cc7dfd021d7,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey/g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey-multi-all.sigma.npy
N,13,10,1;1;2;1;1;1;1;1;1;1;1;1;1,17,F-basins-pinwheel7.png,pinwheel,7x7,g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16,996cf8089efef6526d2510a089a2408a,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=pinwheel/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16/g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16-multi-all.sigma.npy
E,10,14,2;1;1;1;1;1;1;1;1;1,17,F-basins-pinwheel7.png,pinwheel,7x7,g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16,996cf8089efef6526d2510a089a2408a,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=pinwheel/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16/g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16-multi-all.sigma.npy
