cohort,seed,first_gen_cov70,first_gen_cov85,final_N,final_E,final_S,final_W,final_min_label,n_labels_ge_070
perm_balanced,s173,-1,-1,0.35,0.35,0.425,0.3,0.3,0
perm_balanced,s223,-1,-1,0.45,0.525,0.5,0.25,0.25,0
perm_balanced,s244,-1,-1,0.35,0.3,0.575,0.5,0.3,0
perm_balanced,s264,-1,-1,0.525,0.4,0.325,0.525,0.325,0
perm_balanced,s282,-1,-1,0.425,0.55,0.375,0.525,0.375,0
perm_balanced,s316,-1,-1,0.525,0.425,0.5,0.375,0.375,0
perm_balanced,s346,112,-1,0.425,0.525,0.275,0.475,0.275,0
perm_balanced,s360,66,384,0.4,0.55,0.3,0.875,0.3,1
perm_balanced,s374,-1,-1,0.6,0.4,0.45,0.375,0.375,0
perm_balanced,s412,77,-1,0.3,0.825,0.45,0.425,0.3,1
perm_balanced,s424,95,-1,0.475,0.75,0.5,0.25,0.25,1
perm_balanced,s435,30,-1,0.475,0.225,0.425,0.5,0.225,0
perm_balanced,s458,-1,-1,0.375,0.525,0.45,0.675,0.375,0
shuffle,s173,39,119,0.4,0.95,0.125,0.95,0.125,2
shuffle,s223,18,29,0.075,0.3,0.85,1.0,0.075,2
shuffle,s244,22,45,0.95,0.1,0.2,1.0,0.1,2
shuffle,s264,68,80,0.95,0.15,0.5,0.55,0.15,1
shuffle,s282,19,19,0.425,0.925,0.125,0.925,0.125,2
shuffle,s316,10,311,0.725,0.775,0.075,0.9,0.075,3
shuffle,s346,-1,-1,0.325,0.45,0.35,0.375,0.325,0
shuffle,s360,20,29,0.6,0.425,0.125,0.95,0.125,1
shuffle,s374,24,93,0.1,0.925,0.875,0.55,0.1,2
shuffle,s412,28,65,0.575,0.975,0.125,0.4,0.125,1
shuffle,s424,14,21,0.95,1.0,0.175,0.25,0.175,2
shuffle,s435,18,35,0.425,0.9,0.95,0.1,0.1,2
shuffle,s458,37,102,0.925,0.9,0.1,0.45,0.1,2
shuffle,s923,34,44,0.425,0.85,0.95,0.15,0.15,2
