beta,mean_info_twist,mean_value_twist,mean_free_twist,value_std_twist,value_q25_twist,value_q75_twist,value_min_twist,value_max_twist,info_std_twist,ok_goals_twist,goal_count_twist,mean_info_baseline,mean_value_baseline,mean_free_baseline,value_std_baseline,value_q25_baseline,value_q75_baseline,value_min_baseline,value_max_baseline,info_std_baseline,ok_goals_baseline,goal_count_baseline
1000.0,,,,,,,,,,,,8.417916295038047,-5.574052993478429,5.5824736145342415,0.8450966239753539,-6.113739235308572,-4.754686303340723,-6.96267738004126,-4.15235091929828,1.0128081615784583,24,24
500.0,,,,,,,,,,,,8.296793955826473,-5.574235621080422,5.59083406122507,0.8451694774365788,-6.113972243554177,-4.754759523265677,-6.962956656464978,-4.1524714509504514,1.0012340520228769,24,24
250.0,,,,,,,,,,,,7.975863770906703,-5.575133682676769,5.607039527807655,0.8454670879318401,-6.115089004283265,-4.755134845490753,-6.964400173881973,-4.153138820545597,0.999190219846422,24,24
125.0,,,,,,,,,,,,7.64669686518716,-5.576877047896448,5.638049418202122,0.8459534261350846,-6.117332362747139,-4.755853980107803,-6.967590995132188,-4.154675205012175,1.001168390015602,24,24
100.0,6.551504510406613,-5.578211591012838,5.643732228277886,0.8467533871551505,-6.119047476760689,-4.756521427247501,-6.972617215971256,-4.155831761183567,0.7385284627272298,24.0,24.0,7.565940024747948,-5.577542611331445,5.653198396031367,0.8461327069798724,-6.118264565126437,-4.7561244090000505,-6.968891750317643,-4.155291587424474,1.001014554440098,24,24
80.0,,,,,,,,,,,,7.500530343037707,-5.578213063025213,5.671967350771523,0.8463101389988871,-6.119241280262683,-4.756398537525085,-6.97021235748866,-4.155909753748399,1.0010220372672962,24,24
55.5047307785,6.339171324416053,-5.579956472398887,5.69417724039712,0.8470258630227309,-6.120192304735458,-4.7570024396757535,-6.976261188488591,-4.158655315624809,0.7008348320993275,24.0,24.0,7.424556659808783,-5.57925140618691,5.713017047685775,0.8465755182514069,-6.120808313372399,-4.756830869294267,-6.97224306574787,-4.156846176083911,1.0009164027762916,24,24
50.0,,,,,,,,,,,,7.409041051923083,-5.579523823069977,5.727707350391515,0.8466430231810848,-6.121225816133487,-4.756945687338821,-6.972767288718891,-4.157085322554347,1.0008228859149833,24,24
32.0,,,,,,,,,,,,7.365940919193423,-5.580526652610234,5.810717125761552,0.8468845671599535,-6.122783397983857,-4.757375480081786,-6.974655987665415,-4.157940999565874,0.9996739517411032,24,24
30.8077513879,6.288126977820942,-5.580955257067997,5.785065901475686,0.8472818078954416,-6.121060917868471,-4.757522099753992,-6.978456088668215,-4.159426716030327,0.6898273635734063,24.0,24.0,7.363627192551753,-5.580599285996989,5.819623415098675,0.8469017293145567,-6.122896888572426,-4.75740688593109,-6.9747907064592285,-4.158001429585006,0.99953784953193,24,24
20.0,,,,,,,,,,,,7.346824068854389,-5.581291866343446,5.948637124160616,0.8470656968236082,-6.123987440492943,-4.757708696525156,-6.97605867584634,-4.158569404123325,0.9975794224578506,24,24
17.0997594668,6.275266419239478,-5.581566358061656,5.948548657339629,0.8474110420664637,-6.121664401596997,-4.757845745186734,-6.9796701971656185,-4.159888146447969,0.689604009250567,24.0,24.0,7.34360236356081,-5.581495939228456,6.010954961225508,0.8471140752863445,-6.124306143654015,-4.757800340791227,-6.976424637348417,-4.1587337868589564,0.996833072430919,24,24
13.0,,,,,,,,,,,,7.338084627290018,-5.581943559389427,6.1464147821803055,0.8472155712085241,-6.124914174824264,-4.758041360361505,-6.977161309873473,-4.159090038329339,0.9956499309598488,24,24
9.4911754558,6.256143842033354,-5.5835628566099045,6.242717064264909,0.8477192769059547,-6.123647650737135,-4.759281034822221,-6.981993962861809,-4.161678861397395,0.6899083647707289,24.0,24.0,7.316906454132584,-5.584026015935393,6.354945710191697,0.8476519144412601,-6.127042840257014,-4.759447695318623,-6.980137739045866,-4.160721850184404,0.994973458474487,24,24
8.0,,,,,,,,,,,,7.284567573755027,-5.587801509580505,6.498373807793404,0.8484347573282536,-6.130674572479324,-4.762088877425929,-6.985398530888181,-4.16366660542264,0.9954152664613668,24,24
5.26805138445,6.054049480039789,-5.614683695256342,6.763876556346268,0.8524346077409539,-6.161890696383187,-4.783249694214339,-7.01444371166132,-4.190027657866061,0.6775829201438611,24.0,24.0,7.07421203294233,-5.621268359168812,6.964123116437449,0.8552723926953767,-6.173908705542145,-4.785950755084892,-7.031509864708932,-4.189777641105184,1.002713484435123,24,24
5.0,,,,,,,,,,,,7.03085399589659,-5.629582700716433,7.035757335784221,0.8569372530823779,-6.185363609457413,-4.791962391728863,-7.042872281463273,-4.1962883500411685,1.0046057322166873,24,24
3.2,,,,,,,,,,,,6.493464263715655,-5.765063099850906,7.794268123831274,0.8822071459523968,-6.366387228939368,-4.893645251315582,-7.223810777628231,-4.303910052284135,1.0318841798814358,24,24
2.92401773821,5.375156303514502,-5.787283577924325,7.625542348895259,0.8811453034158767,-6.36640600459294,-4.914741958487371,-7.216346060233191,-4.337299416547008,0.6473459497002774,24.0,24.0,6.351920763526489,-5.810449661422996,7.9827686508023215,0.8899772479295514,-6.4250724205279575,-4.929027501667144,-7.28296837581664,-4.340551220858286,1.03926432199615,24,24
2.0,,,,,,,,,,,,5.672043776275366,-6.089856426865066,8.925879944663558,0.9319426863172326,-6.771629781713962,-5.156761358148486,-7.63625957203941,-4.571131967362787,1.0691508656480475,24,24
1.62296817351,4.176262018107578,-6.294953559971955,8.868130146515524,0.9675753576532524,-6.931763746785207,-5.30666742362776,-7.861859180817973,-4.743901377035253,0.6738845941728848,24.0,24.0,5.26451413984852,-6.313961890284254,9.55773603650386,0.9599431835870004,-7.036636668605068,-5.348399563543487,-7.910356121319181,-4.760975857613317,1.07964727907679,24,24
1.3,,,,,,,,,,,,4.826571712305912,-6.614434780954066,10.32719400076514,0.9916840083604428,-7.379802760475973,-5.614107294319268,-8.269786691880073,-5.0207066219662,1.0823284204588068,24,24
1.0,,,,,,,,,,,,4.320363468932324,-7.060538787084185,11.380910374743117,1.0297803527950438,-7.863179589670504,-6.022135835947596,-8.792407130509986,-5.414905684258168,1.0718423412873186,24,24
0.900824115327,2.914635535305353,-7.258060713686343,10.493604566728118,1.0999233077315071,-7.952621551133279,-6.111108557431948,-9.08841009157441,-5.540351330665675,0.7682759250832158,24.0,24.0,4.125674730301063,-7.267621843147104,11.84754079208252,1.0447610995194931,-8.063370689743559,-6.215776226797613,-9.03199368036126,-5.600654175361003,1.063303168124557,24,24
0.8,,,,,,,,,,,,3.9103433320543046,-7.524754736615104,12.412731473811796,1.0616409377617424,-8.30432542668248,-6.459222389274478,-9.327898199779275,-5.833376846264795,1.0506084069641686,24,24
0.5,1.9277372660453675,-8.683866872802271,12.539400230676202,1.1975233194739303,-9.395149870435333,-7.442792875972323,-10.732473521425025,-6.843452073997494,0.7583579570202811,24.0,24.0,3.127401014159052,-8.797524248070594,15.0524152585161,1.133182979341645,-9.38515978810516,-7.698797701297381,-10.78043689617408,-7.010541326891905,0.971654102195253,24,24
0.35,,,,,,,,,,,,2.608351599436538,-10.087679869911204,17.54036320799994,1.2186509903433798,-10.59163400969534,-8.98616268704097,-12.248589356139128,-8.233290864125667,0.8865613259253912,24,24
0.25,,,,,,,,,,,,2.120511905672136,-11.687427358720267,20.16987339648874,1.3806065618720875,-12.23238909544821,-10.505648612096763,-14.51615849388766,-9.725698441001802,0.7672887936012476,23,24
0.18,,,,,,,,,,,,1.698830819262655,-13.661208966482532,23.099722452200314,1.719346017420501,-14.040684096607562,-12.505325433609784,-17.527134460771993,-10.924165503475312,0.6788922039764613,21,24
0.13,,,,,,,,,,,,1.429084382432558,-15.932165368087311,26.92638322574381,2.243349575846618,-16.532227375535545,-14.995885214738331,-21.44134700966728,-11.477421664305108,0.5748620005507602,19,24
0.1,0.4488584292521865,-14.821929676411909,19.31138558590804,1.639471999824891,-15.912196007845562,-13.421937366702815,-18.508322545667188,-11.339891604207956,0.4183235365322628,23.0,24.0,1.1895034744985915,-17.615017622311424,29.512278363670635,2.372614887114444,-17.943005698858524,-16.957664540492583,-24.06420213315313,-12.007573647767597,0.4922174290851178,17,24
