beta,mean_info_twist,mean_value_twist,mean_free_twist,value_std_twist,value_q25_twist,value_q75_twist,value_min_twist,value_max_twist,info_std_twist,ok_goals_twist,goal_count_twist,mean_info_baseline,mean_value_baseline,mean_free_baseline,value_std_baseline,value_q25_baseline,value_q75_baseline,value_min_baseline,value_max_baseline,info_std_baseline,ok_goals_baseline,goal_count_baseline
1000.0,7.888781767607216,-5.574058267847806,5.58194703663226,0.8451018410911563,-6.113745543466965,-4.754699174988358,-6.962686280404084,-4.152352005700696,1.0733661684610911,24.0,24.0,8.417916295038047,-5.574052993478429,5.5824736145342415,0.8450966239753539,-6.113739235308572,-4.754686303340723,-6.96267738004126,-4.15235091929828,1.0128081615784583,24,24
500.0,7.624867777950011,-5.574386147035572,5.589636151272816,0.8453114433444248,-6.114215474736529,-4.754954698929842,-6.963965185248172,-4.152450418233732,0.948547554193635,24.0,24.0,8.296793955826473,-5.574235621080422,5.59083406122507,0.8451694774365788,-6.113972243554177,-4.754759523265677,-6.962956656464978,-4.1524714509504514,1.0012340520228769,24,24
250.0,7.092332982059862,-5.5755863628640006,5.603955865614946,0.8459155004165869,-6.116439974181997,-4.755894110588414,-6.967298352087241,-4.1530149616475445,0.8404039861749921,24.0,24.0,7.975863770906703,-5.575133682676769,5.607039527807655,0.8454670879318401,-6.115089004283265,-4.755134845490753,-6.964400173881973,-4.153138820545597,0.999190219846422,24,24
125.0,6.67483495857788,-5.577443068654532,5.630844451073348,0.8465660125222352,-6.118541613812639,-4.756375563732421,-6.971143750511318,-4.154771695868493,0.7728428090539737,24.0,24.0,7.64669686518716,-5.576877047896448,5.638049418202122,0.8459534261350846,-6.117332362747139,-4.755853980107803,-6.967590995132188,-4.154675205012175,1.001168390015602,24,24
100.0,,,,,,,,,,,,7.565940024747948,-5.577542611331445,5.653198396031367,0.8461327069798724,-6.118264565126437,-4.7561244090000505,-6.968891750317643,-4.155291587424474,1.001014554440098,24,24
80.0,6.437379235405751,-5.578991150861576,5.659477571761919,0.846871203643617,-6.119512991174103,-4.756682365502602,-6.974117329414923,-4.15717638912421,0.7166045364844147,24.0,24.0,7.500530343037707,-5.578213063025213,5.671967350771523,0.8463101389988871,-6.119241280262683,-4.756398537525085,-6.97021235748866,-4.155909753748399,1.0010220372672962,24,24
55.5047307785,,,,,,,,,,,,7.424556659808783,-5.57925140618691,5.713017047685775,0.8465755182514069,-6.120808313372399,-4.756830869294267,-6.97224306574787,-4.156846176083911,1.0009164027762916,24,24
50.0,6.325087800710563,-5.580169151093149,5.706678829361844,0.8470857564646117,-6.120366898447218,-4.757102070002192,-6.976754210862215,-4.158825507791589,0.6971891454155321,24.0,24.0,7.409041051923083,-5.579523823069977,5.727707350391515,0.8466430231810848,-6.121225816133487,-4.756945687338821,-6.972767288718891,-4.157085322554347,1.0008228859149833,24,24
32.0,6.28982766420368,-5.580904395639493,5.777463208586465,0.8472704087974096,-6.121013406674303,-4.757493991871154,-6.978351295954752,-4.159387918139299,0.6900377258946108,24.0,24.0,7.365940919193423,-5.580526652610234,5.810717125761552,0.8468845671599535,-6.122783397983857,-4.757375480081786,-6.974655987665415,-4.157940999565874,0.9996739517411032,24,24
30.8077513879,,,,,,,,,,,,7.363627192551753,-5.580599285996989,5.819623415098675,0.8469017293145567,-6.122896888572426,-4.75740688593109,-6.9747907064592285,-4.158001429585006,0.99953784953193,24,24
20.0,6.276970716089544,-5.58142875026432,5.895279891657135,0.8473831106920968,-6.121523289139863,-4.757775264126189,-6.979406932295985,-4.159784512293194,0.68933144822063,24.0,24.0,7.346824068854389,-5.581291866343446,5.948637124160616,0.8470656968236082,-6.123987440492943,-4.757708696525156,-6.97605867584634,-4.158569404123325,0.9975794224578506,24,24
17.0997594668,,,,,,,,,,,,7.34360236356081,-5.581495939228456,6.010954961225508,0.8471140752863445,-6.124306143654015,-4.757800340791227,-6.976424637348417,-4.1587337868589564,0.996833072430919,24,24
13.0,6.272199797018772,-5.581889958134064,6.064368989247972,0.8474685010154756,-6.121995064369331,-4.758040055384704,-6.98016931746985,-4.16015483718583,0.6901724575886855,24.0,24.0,7.338084627290018,-5.581943559389427,6.1464147821803055,0.8472155712085241,-6.124914174824264,-4.758041360361505,-6.977161309873473,-4.159090038329339,0.9956499309598488,24,24
10.0,,,,,,,,,,,,7.322954737283332,-5.583390709482646,6.315689970488637,0.847519903554566,-6.126419687622322,-4.759008329256619,-6.979245476035632,-4.160225314513957,0.9949881049602708,24,24
9.4911754558,,,,,,,,,,,,7.316906454132584,-5.584026015935393,6.354945710191697,0.8476519144412601,-6.127042840257014,-4.759447695318623,-6.980137739045866,-4.160721850184404,0.994973458474487,24,24
8.0,6.230090524040874,-5.586654742247835,6.365413625100156,0.8481751201359664,-6.126750117064003,-4.7616432647301,-6.985165483157747,-4.164528997762589,0.6884832205113629,24.0,24.0,7.284567573755027,-5.587801509580505,6.498373807793404,0.8484347573282536,-6.130674572479324,-4.762088877425929,-6.985398530888181,-4.16366660542264,0.9954152664613668,24,24
5.26805138445,,,,,,,,,,,,7.07421203294233,-5.621268359168812,6.964123116437449,0.8552723926953767,-6.173908705542145,-4.785950755084892,-7.031509864708932,-4.189777641105184,1.002713484435123,24,24
5.0,6.016635165240931,-5.621793351463584,6.825112039567986,0.8535448774876542,-6.170690530152484,-4.78871469649781,-7.022103781728494,-4.196394336870239,0.6753536689515899,24.0,24.0,7.03085399589659,-5.629582700716433,7.035757335784221,0.8569372530823779,-6.185363609457413,-4.791962391728863,-7.042872281463273,-4.1962883500411685,1.0046057322166873,24,24
4.0,,,,,,,,,,,,6.798547030220561,-5.680982016545453,7.380621534092159,0.8669217316900091,-6.255211906325358,-4.829762997240616,-7.1123913814983535,-4.236786604706865,1.0158616680951138,24,24
3.2,5.517630638241591,-5.744162606422311,7.468406167261702,0.8737553340384834,-6.316677680221099,-4.882013634038282,-7.164163030887156,-4.301566224355575,0.651462828464225,24.0,24.0,6.493464263715655,-5.765063099850906,7.794268123831274,0.8822071459523968,-6.366387228939368,-4.893645251315582,-7.223810777628231,-4.303910052284135,1.0318841798814358,24,24
2.92401773821,,,,,,,,,,,,6.351920763526489,-5.810449661422996,7.9827686508023215,0.8899772479295514,-6.4250724205279575,-4.929027501667144,-7.28296837581664,-4.340551220858286,1.03926432199615,24,24
2.5,,,,,,,,,,,,6.0854473973696175,-5.907344465149052,8.341514295928164,0.9055891469925212,-6.547823686960576,-5.006256033878738,-7.407370409933137,-4.419605096977135,1.0523677819485986,24,24
2.0,4.643507775715609,-6.064767658096803,8.386482925960415,0.928613791768138,-6.67734864091254,-5.12702102511903,-7.557694168454983,-4.56106104054279,0.650504506622275,24.0,24.0,5.672043776275366,-6.089856426865066,8.925879944663558,0.9319426863172326,-6.771629781713962,-5.156761358148486,-7.63625957203941,-4.571131967362787,1.0691508656480475,24,24
1.62296817351,,,,,,,,,,,,5.26451413984852,-6.313961890284254,9.55773603650386,0.9599431835870004,-7.036636668605068,-5.348399563543487,-7.910356121319181,-4.760975857613317,1.07964727907679,24,24
1.3,3.6786181436781225,-6.603096498093286,9.432815032821331,1.0155334360367694,-7.27490600429436,-5.5552243578240335,-8.253407886256413,-4.992237523398484,0.713843584054863,24.0,24.0,4.826571712305912,-6.614434780954066,10.32719400076514,0.9916840083604428,-7.379802760475973,-5.614107294319268,-8.269786691880073,-5.0207066219662,1.0823284204588068,24,24
1.0,,,,,,,,,,,,4.320363468932324,-7.060538787084185,11.380910374743117,1.0297803527950438,-7.863179589670504,-6.022135835947596,-8.792407130509986,-5.414905684258168,1.0718423412873186,24,24
0.900824115327,,,,,,,,,,,,4.125674730301063,-7.267621843147104,11.84754079208252,1.0447610995194931,-8.063370689743559,-6.215776226797613,-9.03199368036126,-5.600654175361003,1.063303168124557,24,24
0.8,2.692498550562328,-7.507160957528616,10.872828903265196,1.1249752163518996,-8.196481634998452,-6.332737388938272,-9.383680399317669,-5.75815079271614,0.7744485137494371,24.0,24.0,3.9103433320543046,-7.524754736615104,12.412731473811796,1.0616409377617424,-8.30432542668248,-6.459222389274478,-9.327898199779275,-5.833376846264795,1.0506084069641686,24,24
0.5,1.9277372660453675,-8.683866872802271,12.539400230676202,1.1975233194739303,-9.395149870435333,-7.442792875972323,-10.732473521425025,-6.843452073997494,0.7583579570202811,24.0,24.0,3.127401014159052,-8.797524248070594,15.0524152585161,1.133182979341645,-9.38515978810516,-7.698797701297381,-10.78043689617408,-7.010541326891905,0.971654102195253,24,24
0.35,1.4593983671842758,-9.78063170666993,13.9504393010122,1.2121011390017722,-10.51212381439436,-8.685049954773822,-11.931501531072769,-7.942968919378752,0.7172735095496604,24.0,24.0,2.608351599436538,-10.087679869911204,17.54036320799994,1.2186509903433798,-10.59163400969534,-8.98616268704097,-12.248589356139128,-8.233290864125667,0.8865613259253912,24,24
0.25,1.1034259713523682,-10.966548967128563,15.38048168788388,1.1858175858888726,-11.692077756257556,-9.91355804359694,-13.135047725534502,-8.896555880385371,0.6576993275925804,24.0,24.0,2.120511905672136,-11.687427358720267,20.16987339648874,1.3806065618720875,-12.23238909544821,-10.505648612096763,-14.51615849388766,-9.725698441001802,0.7672887936012476,23,24
0.18,0.8274387895909134,-12.257602791376348,16.8548830794393,1.1668539966652007,-13.097367379682812,-11.504058514444964,-14.350778162921811,-9.805893594676448,0.5840071877819716,24.0,24.0,1.698830819262655,-13.661208966482532,23.099722452200314,1.719346017420501,-14.040684096607562,-12.505325433609784,-17.527134460771993,-10.924165503475312,0.6788922039764613,21,24
