goal,min_mean_free,max_mean_free,range_mean_free,std_mean_free,best_ordering_idx,best_ordering,worst_ordering_idx,worst_ordering
0,12.198527336120605,12.198527336120605,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
1,11.681342124938965,11.681342124938965,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
2,11.47130012512207,11.47130012512207,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
3,11.958154678344727,11.958154678344727,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
5,13.487189292907715,13.487189292907715,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
6,12.145600318908691,12.145600318908691,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
7,11.646408081054688,11.646408081054688,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
8,11.09579849243164,11.09579849243164,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
9,10.743809700012207,10.743809700012207,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
10,11.161258697509766,11.161258697509766,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
12,11.722554206848145,11.722554206848145,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
13,10.71547794342041,10.71547794342041,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
14,11.393630981445312,11.393630981445312,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
15,10.700644493103027,10.700644493103027,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
16,10.067174911499023,10.067174911499023,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
17,10.195356369018555,10.195356369018555,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
18,10.52641487121582,10.52641487121582,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
19,9.94506549835205,9.94506549835205,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
20,9.464558601379395,9.464558601379395,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
21,11.876852989196777,11.876852989196777,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
22,11.113129615783691,11.113129615783691,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
23,10.192203521728516,10.192203521728516,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
24,11.337559700012207,11.337559700012207,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
26,11.982793807983398,11.982793807983398,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
27,10.142119407653809,10.142119407653809,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
30,10.734694480895996,10.734694480895996,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
34,10.629780769348145,10.629780769348145,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
35,13.77206039428711,13.77206039428711,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
36,12.03203010559082,12.03203010559082,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
37,10.433013916015625,10.433013916015625,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
39,14.780072212219238,14.780072212219238,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
40,13.418370246887207,13.418370246887207,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
41,10.522774696350098,10.522774696350098,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
42,12.473987579345703,12.473987579345703,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
43,11.00622844696045,11.00622844696045,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
44,9.722504615783691,9.722504615783691,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
45,10.697271347045898,10.697271347045898,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
46,10.975525856018066,10.975525856018066,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
47,10.934269905090332,10.934269905090332,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
48,9.995867729187012,9.995867729187012,0.0,0.0,0,"[N, E, S, W]",0,"[N, E, S, W]"
