ordering_idx,ordering,ordering_label,npz_path,sigma_hash,chi_align,chi_twist,predominant_ordering,mean_free_all_goals,mean_info_all_goals,mean_value_all_goals,ordering_str,predominant_ordering_str
0,"(0, 1, 2, 3)","[N, E, S, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_00_N-E-S-W.npz,98d6fd77ab5c9fe3240082e765f93eca,1.0,0.0,"(0, 1, 2, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, E, S, W]","[N, E, S, W]"
1,"(0, 1, 3, 2)","[N, E, W, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_01_N-E-W-S.npz,e2c1e9bf17ef44db55f6bbc5e7ef981f,1.0,0.0,"(0, 1, 3, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, E, W, S]","[N, E, W, S]"
2,"(0, 2, 1, 3)","[N, S, E, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_02_N-S-E-W.npz,8aa12d83a4413b7d7d2251a4c3f78ac5,1.0,0.0,"(0, 2, 1, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, S, E, W]","[N, S, E, W]"
3,"(0, 2, 3, 1)","[N, S, W, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_03_N-S-W-E.npz,6afac3dfd15fb285d9451111a33c5c01,1.0,0.0,"(0, 2, 3, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, S, W, E]","[N, S, W, E]"
4,"(0, 3, 1, 2)","[N, W, E, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_04_N-W-E-S.npz,a36e2cbb8004e1680142ad8c4435f424,1.0,0.0,"(0, 3, 1, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, W, E, S]","[N, W, E, S]"
5,"(0, 3, 2, 1)","[N, W, S, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_05_N-W-S-E.npz,465475602dcfec79b44bc2102be864af,1.0,0.0,"(0, 3, 2, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[N, W, S, E]","[N, W, S, E]"
6,"(1, 0, 2, 3)","[E, N, S, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_06_E-N-S-W.npz,a0a476461b2a3bb08a0b7d4aee9bd6d4,1.0,0.0,"(1, 0, 2, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, N, S, W]","[E, N, S, W]"
7,"(1, 0, 3, 2)","[E, N, W, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_07_E-N-W-S.npz,b76b3a19f784e3ef2189ae454398c440,1.0,0.0,"(1, 0, 3, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, N, W, S]","[E, N, W, S]"
8,"(1, 2, 0, 3)","[E, S, N, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_08_E-S-N-W.npz,593c59215048ac7f0a2b964774ceac40,1.0,0.0,"(1, 2, 0, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, S, N, W]","[E, S, N, W]"
9,"(1, 2, 3, 0)","[E, S, W, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_09_E-S-W-N.npz,c17e7c1ba8c078778732d7a94b4845ba,1.0,0.0,"(1, 2, 3, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, S, W, N]","[E, S, W, N]"
