sigma_hash,sigma_seed_equivalent,mean_info,mean_free,mean_value,ok_goals,epsilon_actual,chi_twist,total_rows,fail_goals,source_run_dir,source_run_name
026ced8cf08074ca94c7d56aa100bc25,1846951405361931706,6.141925489795277,13.271555168222102,-7.129629678426825,40,0.75625,0.70625,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
ea9d9dcf09f4c0422a3db9fde4a2f874,9185361490260818171,4.909540829886632,11.985896185675646,-7.076355355789012,40,0.725,0.3249999999999999,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
c4c71603cdcae878b0327eed9d35a4d2,4161514025886905798,5.538369614311098,12.666793843109344,-7.128424228798247,40,0.7,0.60625,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
8ac0476ab0845bc11d3c436e73f8beb9,3656028186296284733,5.819156100072393,12.943865862819786,-7.124709762747392,40,0.70625,0.65,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
16b3b3b40a2f39ef0227ece2474ec3f9,3427050519794628567,4.921496853526337,12.000350184983365,-7.078853331457028,40,0.75625,0.225,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
9bb87a936ab0c5e92ba4bfc72cae09dd,7139811718595581361,5.267783888213584,12.411909270631783,-7.1441253824182,40,0.93125,0.2875,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
09b33cc5899aa96807b34eb6ff0eeb4a,1952812099541679642,4.232232970727209,11.23757554287287,-7.00534257214566,40,0.7375,0.08125,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
c529812137be392b92bdb343e6fabb04,2094373415308176734,4.366767081537314,11.404635858386415,-7.037868776849102,40,0.75,0.025,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
747e1979ed61d2bfe8491548ba448740,5856166315500776641,4.278820226837016,11.287206788837937,-7.008386562000919,40,0.75,0.0437499999999999,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
d700660f6db053ae1b863cc2f4fa6121,5298213252580968576,5.978313842156791,13.08135826285102,-7.103044420694229,40,0.7625,0.525,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
076b8a1450e26e3f169503cdf68f569f,2696556624773133085,6.299221606499736,13.425781942726946,-7.12656033622721,40,0.7,0.69375,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
c19d3fe0d531c33ed732b89fd06fd92c,6515926227198631852,4.920697374654176,12.030713890407837,-7.110016515753659,40,0.95625,0.1312499999999999,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
430d1e0d91bf149036f9be5f38116d8e,4401136664300197551,6.02503972333981,13.159907688450568,-7.134867965110759,40,0.7125,0.55625,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10,g100-pop-96-perm-bal-18-03-b1-random-four-rooms-sp3011-10
878c0c4d3cdfc4fdfa159537cbb918dd,661375838913602267,4.469347394853289,11.484239514756698,-7.01489211990341,40,0.26875,0.26875,40,0,/media/merlin/grid-twist/data-schema-10/random/init_method=perm_balanced/env_id=four_rooms/shape=7x7/beta=1/det=0.97/run_name=g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10,g40-pop-96-perm-bal-17-03-b1-random-four-rooms-sp3011-10
