reach_rank,sigma_hash,run_name,is_run_best,run_type,fitness_objective,fp_largest_basin_fraction,fp_mean_rho,fp_diameter,fp_n_basins,fp_cycle_basin_ratio,mean_free,mean_info,fitness_objective_recorded
1,0e5cb0bf4d21011b37477fb27ab73e58,prod-baseline-g200-b1-four-rooms-sp3011-09-20260309,True,multi,decision_information_legacy,0.85,5.762499999999999,19.0,13.25,0.7781795646733728,10.21925306343062,3.0098076554839777,
2,3b3bd282e156e7d1a6ea4a74a60443af,prod-baseline-g500-b1-four-rooms-sp3011-09-20260309,True,multi,decision_information_legacy,0.825,4.8187500000000005,13.0,12.25,0.7701528795278796,9.901249245046381,2.8428146234026666,
3,69d339a3b0548d2f37fd2fc412235fcd,g200-pop-96-perm-bal-21-06-b1-free-ga-four-rooms-7x7-s141-sp3011-02,True,multi,free_energy,0.875,4.475,14.0,12.75,0.7863787531329547,9.815798175746089,3.0491953806743037,free_energy
4,425f30e3d5cd655339fd0cc7dfd021d7,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-06-survey,True,multi,free_energy,0.775,4.1875,12.0,12.75,0.7954339323706021,9.785706891385862,3.069911058400281,free_energy
5,3597eff87e059d516ea7d591354ed6a4,g200-pop-96-perm-bal-20-03-b1-free-ga-four-rooms-r2-sp3011-11,True,multi,free_energy,0.725,4.14375,13.0,13.25,0.7830102419320218,9.849805197638544,3.0620779344592908,free_energy
6,54ce032496fd3d4c8c29a4492d1a3d10,prod-candidate-g500-b1-four-rooms-sp3011-04-20260309,True,multi,decision_information_legacy,0.45,4.0375,12.0,12.5,0.7433175373456186,10.160703397865833,3.0167382280902864,
7,72bf2ed15cb16ce3ac547e85bdbc2a0f,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-07-survey,True,multi,free_energy,0.5,3.96875,11.0,12.5,0.7509106542823648,9.946147268904392,2.974970641922768,free_energy
8,5eab02fd36953b721edb1170713c5e66,g100-pop-96-perm-bal-18-03-b1-ga-four-rooms-sp3011-05,True,multi,decision_information_legacy,0.5,3.94375,11.0,12.5,0.7222497294372294,10.214178698976328,3.1122741369966573,
9,b345cb0d90b3eeeff16b540ae3d3fa3e,g500-pop-96-perm-bal-07-06-b1-free-ga-four-rooms-7x7-k100-sp3011-05-survey,True,multi,free_energy,0.5,3.8687500000000004,11.0,12.5,0.7790908141566036,9.859907943536154,3.023078866968802,free_energy
10,18c9942d684e14804af217015ea2a59e,g200-pop-96-perm-bal-20-03-b1-free-ga-four-rooms-r4-sp3011-16,True,multi,free_energy,0.45,3.8375000000000004,11.0,12.5,0.7455614238702475,9.99734576657621,3.0941693661754277,free_energy
