run_name,fp_n_basins,coverage,seed,generation_budget,winning_generation,logged_generation_max,fitness_objective,init_mode,source_run_id,seed_reused_in_cohort,appears_to_be_extension
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-09,8.75,0.3877551020408163,742049605,200,155,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-09,True,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-15,8.75,0.40816326530612246,532982711,200,196,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-15,True,False
g100-pop-96-perm-bal-18-03-b1-ga-open-grid-sp3011-03,8.5,0.42857142857142855,1084466919,100,99,100,decision_information,perm_balanced,g100-pop-96-perm-bal-18-03-b1-ga-open-grid-sp3011-03,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-09,7.75,0.5102040816326531,742049605,200,169,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-09,True,False
g40-pop-96-perm-bal-17-03-b1-ga-open-grid-sp3011-03,8.25,0.5102040816326531,131724991,40,40,40,decision_information,perm_balanced,g40-pop-96-perm-bal-17-03-b1-ga-open-grid-sp3011-03,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-10,8.25,0.5102040816326531,1133589878,200,161,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-10,True,False
g40-pop-96-perm-bal-17-03-b1-ga-open-grid-r2-sp3011-02,7.75,0.5306122448979592,1803331871,40,39,40,decision_information,perm_balanced,g40-pop-96-perm-bal-17-03-b1-ga-open-grid-r2-sp3011-02,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-12,8.0,0.5306122448979592,650729000,200,139,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-12,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-13,8.25,0.5306122448979592,1849132227,200,166,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-13,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-12,7.75,0.5510204081632653,663614706,200,200,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-12,True,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-14,8.75,0.5510204081632653,687474961,200,179,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-14,True,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-10,7.5,0.6530612244897959,1133589878,200,153,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-10,True,False
g200-pop-96-perm-bal-24-03-b1-free-ga-open-grid-sp3011-08,8.0,0.673469387755102,1010326530,200,198,200,free_energy,perm_balanced,g200-pop-96-perm-bal-24-03-b1-free-ga-open-grid-sp3011-08,False,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-13,8.0,0.673469387755102,1591241410,200,186,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-13,True,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-13,8.0,0.7142857142857143,1591241410,200,186,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-13,True,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-11,8.5,0.7142857142857143,1053787275,200,173,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-11,True,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-10,7.75,0.7959183673469388,1336891963,200,172,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-10,False,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-11,8.25,0.8163265306122449,1053787275,200,182,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-11,True,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-11,8.0,0.8571428571428571,219665493,200,187,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-11,False,False
prod-baseline-g200-b1-open-grid-sp3011-05-20260309,8.75,0.8571428571428571,1459784990,200,174,200,decision_information,shuffle,prod-baseline-g200-b1-open-grid-sp3011-05-20260309,False,False
g500-pop-96-perm-bal-07-06-b1-free-ga-open-grid-7x7-k100-sp3011-16-survey,8.0,0.8775510204081632,1648732159,500,436,500,free_energy,perm_balanced,g500-pop-96-perm-bal-07-06-b1-free-ga-open-grid-7x7-k100-sp3011-16-survey,False,False
g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-12,8.25,0.8775510204081632,663614706,200,200,200,free_energy,perm_balanced,g200-pop-96-perm-bal-17-06-b1-free-ga-open-grid-fediv-sp3011-12,True,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-7x7-scal-r2-sp3011-14,7.75,0.8979591836734694,104253927,200,155,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-7x7-scal-r2-sp3011-14,False,False
g500-pop-96-perm-bal-07-06-b1-free-ga-open-grid-7x7-k100-sp3011-15-survey,8.0,0.8979591836734694,412698735,500,483,500,free_energy,perm_balanced,g500-pop-96-perm-bal-07-06-b1-free-ga-open-grid-7x7-k100-sp3011-15-survey,False,False
prod-baseline-g500-b1-open-grid-sp3011-05-20260309,8.5,0.8979591836734694,3712463966,200,181,200,decision_information,shuffle,prod-baseline-g500-b1-open-grid-sp3011-05-20260309,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-7x7-scal-sp3011-06,7.5,0.9183673469387755,334389458,200,193,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-7x7-scal-sp3011-06,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-09,8.25,0.9183673469387755,1494929474,200,169,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-09,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-14,7.75,0.9387755102040817,687474961,200,148,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-14,True,False
g200-pop-96-perm-bal-24-03-b1-free-ga-open-grid-sp3011-10,7.75,0.9387755102040817,3479026274,200,173,200,free_energy,perm_balanced,g200-pop-96-perm-bal-24-03-b1-free-ga-open-grid-sp3011-10,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-15,8.0,0.9387755102040817,532982711,200,190,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-div-sp3011-15,True,False
prod-candidate-g500-b1-open-grid-sp3011-02-20260309,8.25,0.9387755102040817,109140401,500,485,500,decision_information,perm_balanced,prod-candidate-g500-b1-open-grid-sp3011-02-20260309,False,False
g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-07,8.25,0.9387755102040817,639665194,200,165,200,decision_information,perm_balanced,g200-pop-96-perm-bal-17-06-b1-di-ga-open-grid-sp3011-07,False,False
prod-candidate-g200-b1-open-grid-sp3011-05-20260309,8.5,0.9387755102040817,3723532662,200,166,200,decision_information,perm_balanced,prod-candidate-g200-b1-open-grid-sp3011-05-20260309,False,False
